siteRef,AADT5yearsAgo,AADT4yearsAgo,AADT3yearsAgo,AADT2yearsAgo,AADT1yearAgo,Hol_type,day,month,hour,dayOfweek,Conditions,lane,Maximum Temperature,predictions,actual
1610013,26815.0,29625.0,30355.0,29927.0,31569.0,SchoolDay,29,8,0,3,"Rain, Partially cloudy",Inc,15.1,105.4,0.0
1610013,26815.0,29625.0,30355.0,29927.0,31569.0,SchoolDay,29,8,1,3,"Rain, Partially cloudy",Inc,15.1,72.4,2.0
1610013,26815.0,29625.0,30355.0,29927.0,31569.0,SchoolDay,29,8,2,3,"Rain, Partially cloudy",Inc,15.1,38.6,0.0
1610013,26815.0,29625.0,30355.0,29927.0,31569.0,SchoolDay,29,8,3,3,"Rain, Partially cloudy",Inc,15.1,38.2,0.0
1610013,26815.0,29625.0,30355.0,29927.0,31569.0,SchoolDay,29,8,4,3,"Rain, Partially cloudy",Inc,15.1,85.8,62.0
1610013,26815.0,29625.0,30355.0,29927.0,31569.0,SchoolDay,29,8,5,3,"Rain, Partially cloudy",Inc,15.1,478.8,449.0
1610013,26815.0,29625.0,30355.0,29927.0,31569.0,SchoolDay,29,8,6,3,"Rain, Partially cloudy",Inc,15.1,1734.6,1561.0
1610013,26815.0,29625.0,30355.0,29927.0,31569.0,SchoolDay,29,8,7,3,"Rain, Partially cloudy",Inc,15.1,2235.6,2158.0
1610013,26815.0,29625.0,30355.0,29927.0,31569.0,SchoolDay,29,8,8,3,"Rain, Partially cloudy",Inc,15.1,2034.0,1948.0
1610013,26815.0,29625.0,30355.0,29927.0,31569.0,SchoolDay,29,8,9,3,"Rain, Partially cloudy",Inc,15.1,1720.6,1785.0
1610013,26815.0,29625.0,30355.0,29927.0,31569.0,SchoolDay,29,8,10,3,"Rain, Partially cloudy",Inc,15.1,1600.0,1695.0
1610013,26815.0,29625.0,30355.0,29927.0,31569.0,SchoolDay,29,8,11,3,"Rain, Partially cloudy",Inc,15.1,1672.4,1680.0
1610013,26815.0,29625.0,30355.0,29927.0,31569.0,SchoolDay,29,8,12,3,"Rain, Partially cloudy",Inc,15.1,1825.6,1801.0
1610013,26815.0,29625.0,30355.0,29927.0,31569.0,SchoolDay,29,8,13,3,"Rain, Partially cloudy",Inc,15.1,1957.4,1900.0
1610013,26815.0,29625.0,30355.0,29927.0,31569.0,SchoolDay,29,8,14,3,"Rain, Partially cloudy",Inc,15.1,2402.0,2536.0
1610013,26815.0,29625.0,30355.0,29927.0,31569.0,SchoolDay,29,8,15,3,"Rain, Partially cloudy",Inc,15.1,2597.2,2751.0
1610013,26815.0,29625.0,30355.0,29927.0,31569.0,SchoolDay,29,8,16,3,"Rain, Partially cloudy",Inc,15.1,2581.0,2595.0
1610013,26815.0,29625.0,30355.0,29927.0,31569.0,SchoolDay,29,8,17,3,"Rain, Partially cloudy",Inc,15.1,2651.6,2773.0
1610013,26815.0,29625.0,30355.0,29927.0,31569.0,SchoolDay,29,8,18,3,"Rain, Partially cloudy",Inc,15.1,2326.0,2713.0
1610013,26815.0,29625.0,30355.0,29927.0,31569.0,SchoolDay,29,8,19,3,"Rain, Partially cloudy",Inc,15.1,1506.6,1728.0
1610013,26815.0,29625.0,30355.0,29927.0,31569.0,SchoolDay,29,8,20,3,"Rain, Partially cloudy",Inc,15.1,1067.6,1208.0
1610013,26815.0,29625.0,30355.0,29927.0,31569.0,SchoolDay,29,8,21,3,"Rain, Partially cloudy",Inc,15.1,903.6,920.0
1610013,26815.0,29625.0,30355.0,29927.0,31569.0,SchoolDay,29,8,22,3,"Rain, Partially cloudy",Inc,15.1,675.4,4.0
1610013,26815.0,29625.0,30355.0,29927.0,31569.0,SchoolDay,29,8,23,3,"Rain, Partially cloudy",Inc,15.1,379.0,0.0
1610013,26815.0,29625.0,30355.0,29927.0,31569.0,SchoolDay,30,8,0,4,Partially cloudy,Inc,15.5,186.4,1.0
