date,Hol_type
2018-01-01,PublicHoliday
2018-01-02,PublicHoliday
2018-01-03,SchoolHoliday
2018-01-04,SchoolHoliday
2018-01-05,SchoolHoliday
2018-01-06,Weekend
2018-01-07,Weekend
2018-01-08,SchoolHoliday
2018-01-09,SchoolHoliday
2018-01-10,SchoolHoliday
2018-01-11,SchoolHoliday
2018-01-12,SchoolHoliday
2018-01-13,Weekend
2018-01-14,Weekend
2018-01-15,SchoolHoliday
2018-01-16,SchoolHoliday
2018-01-17,SchoolHoliday
2018-01-18,SchoolHoliday
2018-01-19,SchoolHoliday
2018-01-20,Weekend
2018-01-21,Weekend
2018-01-22,SchoolHoliday
2018-01-23,SchoolHoliday
2018-01-24,SchoolHoliday
2018-01-25,SchoolHoliday
2018-01-26,SchoolHoliday
2018-01-27,Weekend
2018-01-28,Weekend
2018-01-29,PublicHoliday
2018-01-30,SchoolDay
2018-01-31,SchoolDay
2018-02-01,SchoolDay
2018-02-02,SchoolDay
2018-02-03,Weekend
2018-02-04,Weekend
2018-02-05,SchoolDay
2018-02-06,PublicHoliday
2018-02-07,SchoolDay
2018-02-08,SchoolDay
2018-02-09,SchoolDay
2018-02-10,Weekend
2018-02-11,Weekend
2018-02-12,SchoolDay
2018-02-13,SchoolDay
2018-02-14,SchoolDay
2018-02-15,SchoolDay
2018-02-16,SchoolDay
2018-02-17,Weekend
2018-02-18,Weekend
2018-02-19,SchoolDay
2018-02-20,SchoolDay
2018-02-21,SchoolDay
2018-02-22,SchoolDay
2018-02-23,SchoolDay
2018-02-24,Weekend
2018-02-25,Weekend
2018-02-26,SchoolDay
2018-02-27,SchoolDay
2018-02-28,SchoolDay
2018-03-01,SchoolDay
2018-03-02,SchoolDay
2018-03-03,Weekend
2018-03-04,Weekend
2018-03-05,SchoolDay
2018-03-06,SchoolDay
2018-03-07,SchoolDay
2018-03-08,SchoolDay
2018-03-09,SchoolDay
2018-03-10,Weekend
2018-03-11,Weekend
2018-03-12,SchoolDay
2018-03-13,SchoolDay
2018-03-14,SchoolDay
2018-03-15,SchoolDay
2018-03-16,SchoolDay
2018-03-17,Weekend
2018-03-18,Weekend
2018-03-19,SchoolDay
2018-03-20,SchoolDay
2018-03-21,SchoolDay
2018-03-22,SchoolDay
2018-03-23,SchoolDay
2018-03-24,Weekend
2018-03-25,Weekend
2018-03-26,SchoolDay
2018-03-27,SchoolDay
2018-03-28,SchoolDay
2018-03-29,SchoolDay
2018-03-30,PublicHoliday
2018-03-31,Weekend
2018-04-01,Weekend
2018-04-02,PublicHoliday
2018-04-03,SchoolDay
2018-04-04,SchoolDay
2018-04-05,SchoolDay
2018-04-06,SchoolDay
2018-04-07,Weekend
2018-04-08,Weekend
2018-04-09,SchoolDay
2018-04-10,SchoolDay
2018-04-11,SchoolDay
2018-04-12,SchoolDay
2018-04-13,SchoolDay
2018-04-14,Weekend
2018-04-15,Weekend
2018-04-16,SchoolHoliday
2018-04-17,SchoolHoliday
2018-04-18,SchoolHoliday
2018-04-19,SchoolHoliday
2018-04-20,SchoolHoliday
2018-04-21,Weekend
2018-04-22,Weekend
2018-04-23,SchoolHoliday
2018-04-24,SchoolHoliday
2018-04-25,PublicHoliday
2018-04-26,SchoolHoliday
2018-04-27,SchoolHoliday
2018-04-28,Weekend
2018-04-29,Weekend
2018-04-30,SchoolDay
2018-05-01,SchoolDay
2018-05-02,SchoolDay
2018-05-03,SchoolDay
2018-05-04,SchoolDay
2018-05-05,Weekend
2018-05-06,Weekend
2018-05-07,SchoolDay
2018-05-08,SchoolDay
2018-05-09,SchoolDay
2018-05-10,SchoolDay
2018-05-11,SchoolDay
2018-05-12,Weekend
2018-05-13,Weekend
2018-05-14,SchoolDay
2018-05-15,SchoolDay
2018-05-16,SchoolDay
2018-05-17,SchoolDay
2018-05-18,SchoolDay
2018-05-19,Weekend
2018-05-20,Weekend
2018-05-21,SchoolDay
2018-05-22,SchoolDay
2018-05-23,SchoolDay
2018-05-24,SchoolDay
2018-05-25,SchoolDay
2018-05-26,Weekend
2018-05-27,Weekend
2018-05-28,SchoolDay
2018-05-29,SchoolDay
2018-05-30,SchoolDay
2018-05-31,SchoolDay
2018-06-01,SchoolDay
2018-06-02,Weekend
2018-06-03,Weekend
2018-06-04,PublicHoliday
2018-06-05,SchoolDay
2018-06-06,SchoolDay
2018-06-07,SchoolDay
2018-06-08,SchoolDay
2018-06-09,Weekend
2018-06-10,Weekend
2018-06-11,SchoolDay
2018-06-12,SchoolDay
2018-06-13,SchoolDay
2018-06-14,SchoolDay
2018-06-15,SchoolDay
2018-06-16,Weekend
2018-06-17,Weekend
2018-06-18,SchoolDay
2018-06-19,SchoolDay
2018-06-20,SchoolDay
2018-06-21,SchoolDay
2018-06-22,SchoolDay
2018-06-23,Weekend
2018-06-24,Weekend
2018-06-25,SchoolDay
2018-06-26,SchoolDay
2018-06-27,SchoolDay
2018-06-28,SchoolDay
2018-06-29,SchoolDay
2018-06-30,Weekend
2018-07-01,Weekend
2018-07-02,SchoolDay
2018-07-03,SchoolDay
2018-07-04,SchoolDay
2018-07-05,SchoolDay
2018-07-06,SchoolDay
2018-07-07,Weekend
2018-07-08,Weekend
2018-07-09,SchoolHoliday
2018-07-10,SchoolHoliday
2018-07-11,SchoolHoliday
2018-07-12,SchoolHoliday
2018-07-13,SchoolHoliday
2018-07-14,Weekend
2018-07-15,Weekend
2018-07-16,SchoolHoliday
2018-07-17,SchoolHoliday
2018-07-18,SchoolHoliday
2018-07-19,SchoolHoliday
2018-07-20,SchoolHoliday
2018-07-21,Weekend
2018-07-22,Weekend
2018-07-23,SchoolDay
2018-07-24,SchoolDay
2018-07-25,SchoolDay
2018-07-26,SchoolDay
2018-07-27,SchoolDay
2018-07-28,Weekend
2018-07-29,Weekend
2018-07-30,SchoolDay
2018-07-31,SchoolDay
2018-08-01,SchoolDay
2018-08-02,SchoolDay
2018-08-03,SchoolDay
2018-08-04,Weekend
2018-08-05,Weekend
2018-08-06,SchoolDay
2018-08-07,SchoolDay
2018-08-08,SchoolDay
2018-08-09,SchoolDay
2018-08-10,SchoolDay
2018-08-11,Weekend
2018-08-12,Weekend
2018-08-13,SchoolDay
2018-08-14,SchoolDay
2018-08-15,SchoolDay
2018-08-16,SchoolDay
2018-08-17,SchoolDay
2018-08-18,Weekend
2018-08-19,Weekend
2018-08-20,SchoolDay
2018-08-21,SchoolDay
2018-08-22,SchoolDay
2018-08-23,SchoolDay
2018-08-24,SchoolDay
2018-08-25,Weekend
2018-08-26,Weekend
2018-08-27,SchoolDay
2018-08-28,SchoolDay
2018-08-29,SchoolDay
2018-08-30,SchoolDay
2018-08-31,SchoolDay
2018-09-01,Weekend
2018-09-02,Weekend
2018-09-03,SchoolDay
2018-09-04,SchoolDay
2018-09-05,SchoolDay
2018-09-06,SchoolDay
2018-09-07,SchoolDay
2018-09-08,Weekend
2018-09-09,Weekend
2018-09-10,SchoolDay
2018-09-11,SchoolDay
2018-09-12,SchoolDay
2018-09-13,SchoolDay
2018-09-14,SchoolDay
2018-09-15,Weekend
2018-09-16,Weekend
2018-09-17,SchoolDay
2018-09-18,SchoolDay
2018-09-19,SchoolDay
2018-09-20,SchoolDay
2018-09-21,SchoolDay
2018-09-22,Weekend
2018-09-23,Weekend
2018-09-24,SchoolDay
2018-09-25,SchoolDay
2018-09-26,SchoolDay
2018-09-27,SchoolDay
2018-09-28,SchoolDay
2018-09-29,Weekend
2018-09-30,Weekend
2018-10-01,SchoolHoliday
2018-10-02,SchoolHoliday
2018-10-03,SchoolHoliday
2018-10-04,SchoolHoliday
2018-10-05,SchoolHoliday
2018-10-06,Weekend
2018-10-07,Weekend
2018-10-08,SchoolHoliday
2018-10-09,SchoolHoliday
2018-10-10,SchoolHoliday
2018-10-11,SchoolHoliday
2018-10-12,SchoolHoliday
2018-10-13,Weekend
2018-10-14,Weekend
2018-10-15,SchoolDay
2018-10-16,SchoolDay
2018-10-17,SchoolDay
2018-10-18,SchoolDay
2018-10-19,SchoolDay
2018-10-20,Weekend
2018-10-21,Weekend
2018-10-22,PublicHoliday
2018-10-23,SchoolDay
2018-10-24,SchoolDay
2018-10-25,SchoolDay
2018-10-26,SchoolDay
2018-10-27,Weekend
2018-10-28,Weekend
2018-10-29,SchoolDay
2018-10-30,SchoolDay
2018-10-31,SchoolDay
2018-11-01,SchoolDay
2018-11-02,SchoolDay
2018-11-03,Weekend
2018-11-04,Weekend
2018-11-05,SchoolDay
2018-11-06,SchoolDay
2018-11-07,SchoolDay
2018-11-08,SchoolDay
2018-11-09,SchoolDay
2018-11-10,Weekend
2018-11-11,Weekend
2018-11-12,SchoolDay
2018-11-13,SchoolDay
2018-11-14,SchoolDay
2018-11-15,SchoolDay
2018-11-16,SchoolDay
2018-11-17,Weekend
2018-11-18,Weekend
2018-11-19,SchoolDay
2018-11-20,SchoolDay
2018-11-21,SchoolDay
2018-11-22,SchoolDay
2018-11-23,SchoolDay
2018-11-24,Weekend
2018-11-25,Weekend
2018-11-26,SchoolDay
2018-11-27,SchoolDay
2018-11-28,SchoolDay
2018-11-29,SchoolDay
2018-11-30,SchoolDay
2018-12-01,Weekend
2018-12-02,Weekend
2018-12-03,SchoolDay
2018-12-04,SchoolDay
2018-12-05,SchoolDay
2018-12-06,SchoolDay
2018-12-07,SchoolDay
2018-12-08,Weekend
2018-12-09,Weekend
2018-12-10,SchoolDay
2018-12-11,SchoolDay
2018-12-12,SchoolDay
2018-12-13,SchoolDay
2018-12-14,SchoolDay
2018-12-15,Weekend
2018-12-16,Weekend
2018-12-17,SchoolDay
2018-12-18,SchoolDay
2018-12-19,SchoolDay
2018-12-20,SchoolDay
2018-12-21,SchoolHoliday
2018-12-22,Weekend
2018-12-23,Weekend
2018-12-24,SchoolHoliday
2018-12-25,PublicHoliday
